R
R
g,R
g,R
l,R
i,R
f,R
f,R
g,R
g,R
s,d
p,d
l,W
l,W
r,b
n,b
k,U
k,U
p,Z
l,W
r,b
n,Y
s,d
p,R
u,T
r,P
w,U
s,T
s,R
p,P
p,N
l,M
l,K
i,I
i,H
i,D
k,I
g,M
d,N
b,P
b,I
b
Y
Y,S
Y,R
Y,P
Y,N
Y,M
Z,K
Z,N
Z,P
Z,R
Z,S
d,N
e,P
d,R
d,K
d
Z
Z,U
a,T
a,R
a,P
a,O
b,M
b,P
b,R
b,T
b,U
f,P
g,R
f,T
f,M
f,Y
g,Y
i,W
k,U
b,I
d,I
f,H
g,F
k,R
l,R
n,P
p,N
g,Z
i,Z
k,Y
l,W
l
q
p,Z
o,Y
r,W
r,U
r,T
s,R
g,U
g,W
g,Y
g,Z
g,U
g,W
f,Y
f,N
d,I
d,K
b,M
Z,N
Y,I
Z,K
Y,M
Y,F
b
e
h
Z,R
d
i
l
c
l,R
l,c
l,R
l,c
l,R
l,c
l,R
k,b
k,R
k,b
k,R
k,b
k,R
k,b
k,R
i,Z
l,R
p,Z
u,R
x,W
s,R
o,W
r,R
u,T
o,R
i,T
l,R
o,T
o,R
o,T
o,R
n,V
l,R
k,V
k,R
i,W
i,Y
i,W
i,U
i,T
f,W
f,U
f,T
d
d
d
d
c
c
c
c
a
c
d
W
 
c
f
i
g
k
p
s
 
s
v
y
x
w
v
u
t
s
r
q
p
 
m,g,j,d
 
k,g,d
 
o,i,f,o
 
k,h,d,p
