s,Q
j
s,c
t,S
t
t,c
v,U
v
v,c
x,V
x
x,c
v,U
v
v,c
t,S
q
t,b
s,Q
o
s,c
q
q,b
n,X
j,b
S
v,b
l,c
c
v,c
n,e
e
v,e
o,g
g
v,g
n,e
e
v,e
l,c
Z
u,c
j,b
X
v,b
Z
t,Z
q,V
t,S
l
t,e
v,U
v
v,e
x,V
x
x,e
y,X
y
y,e
x,V
x
x,e
v,U
s
v,d
t,S
q
t,e
s
s,c
o,Z
l,c
U
x,c
n,e
e
x,e
o,g
g
x,g
q,h
h
x,h
o,g
g
x,g
n,e
b
w,e
l,c
Z
x,c
f
v,b
u,f
v,g
j,g
v,g
d
t,Z
s,d
t,e
q,S
t,e
w
s,c
w,b
x,c
x,Q
x,c
u
q,b
u,Z
v,b
j,X
v,b
d
t,Z
s,d
t,e
h,e
t,e
b
s,X
q,b
s,c
o,Q
s,c
u
q,a
u,Z
v,a
v,O
v,a
s
o,Z
s,X
h,Z
Q
t,Z
j,a
a
t,a
l,c
c
t,c
m,e
e
t,e
l,c
c
t,c
j,a
X
s,a
h,Z
V
t,Z
X
s,X
o,U
s,Q
j
s,c
t,S
t
t,c
v,U
v
v,c
x,V
x
x,c
v,U
v
v,c
t,S
q
t,b
s,Q
o
s,c
q,V
q,U
n,S
n,X
h
e
n,X
h
e
o,X
g
c
o,X
g
c
t,X
e
b
t,X
e
b
s,X
g
c
s,X
g
c
u,X
f
c
u,X
f
c
v,X
e
b
v,V
e
b
v,U
g
c
X
U
S
y,R
v,U
s,Z
s,d
v,g
x,j
x,h
e
Z
V
S
Q
w,P
t,S
q,X
q,b
t,e
v,h
v,f
c
Y
V
e
b
T
c
Y
V
S
P
b,L
V
S
b,L
V
S
c,L
U
Q
c,L
U
Q
h,L
S
P
h,L
S
P
g,L
U
Q
g,L
U
Q
i,L
T
Q
i,L
T
Q
L
S
Y
c
i
o
n,L
t
n
h
b
b
g,X
o
g
Z
T
T
L
g,o,j,X,U,Q
e,n,j,S,X,V
o,j,c,Q,U,X,S
